,Stream,Year.2,Reach.2,PAR,Mean_VISSKY,Mean_GSF,Mean_LAI,Max7MovingAMaxT,Max7MovingAMeanT,MeanMeanT,MaxMaxT,MinMinT,MeanW,MaxW,MinW,Q,GapEllipse,Bankful,Light_Extent_Meters ,
1,CHUCK,Post,Reference,1.257676948,NA,NA,NA,14.48457143,13.93105208,13.08307745,14.984,11.321,0.088497784,0.192,0,21,1113,5.19825,30-60,30
2,CHUCK,Post,Treatment,4.462103244,NA,NA,NA,14.238,13.755,12.94744664,14.721,11.248,0.132587917,0.192,0.024,21,1113,5.19825,30-60,30
3,CHUCK,Pre,Reference,1.239399922,0.081,0.09,3.288,13.78928571,13.32427083,12.31499894,14.17,10.051,0.109592083,0.216,0.024,21,1113,5.19825,30-60,30
4,CHUCK,Pre,Treatment,0.878916439,0.069,0.094,3.74,13.39785714,13.049,12.06491667,13.762,9.952,0.039792917,0.096,0,21,1113,5.19825,30-60,30
5,LOON,Post,Reference,0.55687805,NA,NA,NA,14.64857143,14.19822321,13.64815446,15.127,12.292,-0.057322917,0.335,-0.339,12.5,514,4.1317,20-45,25
6,LOON,Post,Treatment,2.625789106,NA,NA,NA,15.18142857,14.47458185,13.83514673,15.7,12.098,0.151822917,0.743,-0.194,12.5,514,4.1317,20-45,25
7,LOON,Pre,Reference,0.501248098,0.078,0.075,3.205,14.79228571,14.41835863,13.84564034,14.984,12.823,-0.030282658,0.168,-0.217,12.5,514,4.1317,20-45,25
8,LOON,Pre,Treatment,0.452328158,0.055,0.06,4.462,15.06214286,14.60345387,13.96350434,15.27,12.703,0.104394144,0.287,-0.072,12.5,514,4.1317,20-45,25
9,MCTE,Post,Reference,0.95565876,0.064,0.075,4.039,13.66228571,13.19707887,12.64303323,14.098,11.005,-0.039471065,0.121,-0.17,5,1374,2.9,20-80,60
10,MCTE,Post,Treatment,6.243329659,0.076,0.134,3.598,15.05171429,13.90593006,13.24704688,15.652,10.98,0.381872685,1.079,-0.049,5,1374,2.9,20-80,60
11,MCTE,Pre,Reference,0.55669687,0.061,0.065,4.318,13.62085714,13.12895089,12.2518194,14.146,10.026,-0.061668981,0.025,-0.145,5,1374,2.9,20-80,60
12,MCTE,Pre,Treatment,0.736574213,0.065,0.073,4.103,14.64828571,13.39484226,12.59727689,19.175,10.1,0.133125,0.53,0,5,1374,2.9,20-80,60
13,W-100,Post,Reference,1.499271966,0.066,0.094,2.913,16.11571429,14.9593631,14.1539723,16.606,11.807,-0.020539352,0.095,-0.218,43.9,1164,5.39,25-50,25
14,W-100,Post,Treatment,3.021659222,0.076,0.128,2.835,16.34385714,15.17975446,14.33499574,16.963,11.759,0.113650694,0.382,-0.049,43.9,1164,5.39,25-50,25
15,W-100,Pre,Reference,1.700210114,0.087,0.149,3.147,16.28228571,15.30881845,14.27529143,16.701,11.783,0.087384722,0.215,-0.049,43.9,1164,5.39,25-50,25
16,W-100,Pre,Treatment,1.062724306,0.076,0.127,3.146,16.31642857,15.39542857,14.33635677,16.725,11.71,0.041223148,0.119,-0.049,43.9,1164,5.39,25-50,25
17,W-113,Post,Reference,1.105698695,0.082,0.096,3.428,15.51242857,14.93919792,14.29668197,16.01,12.437,-0.286400556,0.024,-0.551,9,713,3.3,20-45,25
18,W-113,Post,Treatment,2.043658224,0.095,0.115,2.833,16.075,15.28567262,14.54151105,16.725,12.292,0.258723542,0.811,0.025,9,713,3.3,20-45,25
19,W-113,Pre,Reference,1.066179345,0.08,0.108,3.671,15.95914286,15.26945089,14.23165795,16.368,12.243,-0.18021625,0.215,-0.694,9,713,3.3,20-45,25
20,W-113,Pre,Treatment,1.117953652,0.085,0.117,3.247,16.23142857,15.54746875,14.34692389,16.582,12.05,0.217116458,0.501,0,9,713,3.3,20-45,25
21,W-122,Post,Reference,1.124663223,0.075,0.097,3.265,16.51414286,14.94005952,14.02222024,17.249,10.492,0.07761095,1.721,-0.876,50.18,892,6.419,20-55,35
22,W-122,Post,Treatment,5.053146384,0.08,0.151,2.864,16.30628571,14.88462351,14.01419271,17.058,11.175,0.124786822,0.264,0.024,50.18,892,6.419,20-55,35
23,W-122,Pre,Reference,0.341619241,0.073,0.086,3.543,16.38442857,15.24702083,14.13646923,16.939,11.443,0.06907197,0.191,0,50.18,892,6.419,20-55,35
24,W-122,Pre,Treatment,0.542106493,0.071,0.115,3.193,16.163,15.115625,14.04137766,16.677,11.467,0.023629498,0.072,0,50.18,892,6.419,20-55,35