Family,Stream,Treatment,Origin,FFG,Size,Count
Amphizoidae,W-100,N,A,CG,L,1
Amphizoidae,W-100,Y,A,CG,L,1
Ant,CHUCK,N,T,NA,NA,11
Ant,CHUCK,Y,T,NA,NA,1
Ant,LOON,Y,T,NA,NA,1
Ant,MCTE,N,T,NA,NA,15
Ant,MCTE,Y,T,NA,NA,3
Ant,W-100,Y,T,NA,NA,1
Arachnida,CHUCK,N,T,NA,NA,2
Arachnida,CHUCK,Y,T,NA,NA,1
Arachnida,LOON,N,T,NA,NA,3
Arachnida,LOON,Y,T,NA,NA,1
Arachnida,MCTE,N,T,NA,NA,2
Arachnida,MCTE,Y,T,NA,NA,5
Arachnida,W-100,N,T,NA,NA,6
Arachnida,W-100,Y,T,NA,NA,8
Baetidae,CHUCK,N,A,CG,S,11
Baetidae,CHUCK,Y,A,CG,S,8
Baetidae,LOON,N,A,CG,S,1
Baetidae,LOON,N,AT,CG,S,1
Baetidae,LOON,Y,A,CG,S,4
Baetidae,MCTE,N,A,CG,S,9
Baetidae,MCTE,Y,A,CG,S,8
Baetidae,MCTE,Y,AT,CG,S,2
Baetidae,W-100,N,A,CG,S,1
Baetidae,W-100,N,AT,CG,S,1
Baetidae,W-100,Y,A,CG,S,5
Brachycentridae,CHUCK,N,A,SH,L,3
Brachycentridae,CHUCK,Y,A,SH,L,4
Brachycentridae,LOON,N,A,SH,L,7
Brachycentridae,LOON,Y,A,SH,L,6
Brachycentridae,MCTE,N,A,SH,L,8
Brachycentridae,MCTE,Y,A,SH,L,8
Brachycentridae,W-100,Y,A,SH,L,2
Centipede,MCTE,Y,T,NA,NA,1
Ceratapogonidae,CHUCK,N,A,P,S,1
Ceratapogonidae,MCTE,N,A,P,S,1
Ceratapogonidae,MCTE,Y,A,P,S,1
Chironomidae,CHUCK,N,A,CG,S,25
Chironomidae,CHUCK,Y,A,CG,S,12
Chironomidae,LOON,N,A,CG,S,7
Chironomidae,LOON,Y,A,CG,S,1
Chironomidae,MCTE,N,A,CG,S,11
Chironomidae,MCTE,Y,A,CG,S,17
Chironomidae,W-100,N,A,CG,S,5
Chironomidae,W-100,Y,A,CG,S,7
Chloroperlidae,CHUCK,Y,A,P,L,1
Chloroperlidae,MCTE,N,A,P,L,3
Chloroperlidae,W-100,N,A,P,L,1
Coleoptera,CHUCK,N,T,CG,L,13
Coleoptera,LOON,N,T,CG,L,2
Coleoptera,LOON,Y,T,CG,L,4
Coleoptera,MCTE,N,T,CG,L,6
Coleoptera,MCTE,Y,T,CG,L,14
Coleoptera,W-100,N,T,CG,L,12
Coleoptera,W-100,Y,T,CG,L,2
Corixidae,MCTE,N,A,NA,NA,1
Corixidae,W-100,Y,A,NA,NA,1
Corydalidae,MCTE,Y,A,P,L,1
Culicidae,MCTE,Y,TAT,NA,NA,1
Culicidae,W-100,Y,AT,NA,NA,2
Decapoda,CHUCK,N,T,NA,NA,1
Diptera,CHUCK,N,T,NA,NA,7
Diptera,CHUCK,Y,T,NA,NA,1
Diptera,LOON,N,T,NA,NA,1
Diptera,LOON,Y,T,NA,NA,3
Diptera,MCTE,N,T,NA,NA,3
Diptera,MCTE,Y,T,NA,NA,6
Diptera,W-100,N,T,NA,NA,6
Diptera,W-100,Y,A,NA,NA,1
Diptera,W-100,Y,AT,NA,NA,1
Diptera,W-100,Y,T,NA,NA,9
Dixidae,CHUCK,N,A,CG,S,1
Dixidae,CHUCK,Y,A,CG,S,2
Dixidae,CHUCK,Y,AT,CG,S,1
Dixidae,MCTE,N,A,CG,S,2
Dixidae,MCTE,Y,A,CG,S,2
Dixidae,W-100,Y,A,CG,S,5
Dytiscidae,MCTE,Y,A,NA,NA,1
Elmidae,CHUCK,N,A,CG,S,2
Elmidae,CHUCK,Y,A,CG,S,1
Elmidae,MCTE,N,A,CG,S,2
Elmidae,MCTE,Y,A,CG,S,4
Elmidae,W-100,N,A,CG,S,4
Elmidae,W-100,Y,A,CG,S,2
Ephemerellidae,CHUCK,N,A,SCe,S,3
Ephemerellidae,LOON,Y,A,SCe,S,2
Ephemerellidae,MCTE,N,A,SCe,S,1
Ephemerellidae,MCTE,Y,A,SCe,S,2
Ephemerellidae,W-100,Y,A,SCe,S,2
Ephemeroptera,MCTE,Y,A,NA,NA,1
Ephemeroptera,MCTE,Y,AT,NA,NA,1
Ephemeroptera,W-100,Y,A,NA,NA,2
Gerridae,MCTE,Y,A,P,L,1
Gerridae,W-100,Y,A,P,L,2
Glossosomatidae,LOON,N,A,NA,NA,1
Glossosomatidae,MCTE,Y,A,NA,NA,1
Glossosomatidae,W-100,N,A,NA,NA,3
Glossosomatidae,W-100,Y,A,NA,NA,3
Hemiptera,CHUCK,N,T,NA,NA,2
Hemiptera,LOON,N,T,NA,NA,1
Hemiptera,LOON,Y,T,NA,NA,1
Hemiptera,MCTE,N,T,NA,NA,4
Hemiptera,MCTE,Y,T,NA,NA,3
Hemiptera,W-100,N,T,NA,NA,3
Hemiptera,W-100,Y,T,NA,NA,1
Heptageniidae,CHUCK,N,A,SCe,L,1
Heptageniidae,CHUCK,Y,A,SCe,L,1
Heptageniidae,MCTE,N,A,SCe,L,2
Heptageniidae,MCTE,Y,A,SCe,L,1
Heptageniidae,W-100,N,A,SCe,L,3
Heptageniidae,W-100,Y,A,SCe,L,1
Hydropsychidae,CHUCK,N,A,CF,L,2
Hydropsychidae,W-100,Y,A,CF,L,2
Hymenoptera,CHUCK,N,T,NA,NA,8
Hymenoptera,CHUCK,Y,T,NA,NA,1
Hymenoptera,LOON,Y,T,NA,NA,4
Hymenoptera,MCTE,Y,T,NA,NA,3
Hymenoptera,W-100,N,T,NA,NA,1
Hymenoptera,W-100,Y,T,NA,NA,1
Isopod,W-100,N,T,CG,S,1
Juga,LOON,N,A,SCi,S,1
Juga,MCTE,N,A,SCi,S,28
Juga,MCTE,Y,A,SCi,S,12
Juga,W-100,Y,A,SCi,S,1
Lepidoptera,LOON,Y,T,NA,NA,2
Lepidoptera,MCTE,Y,T,NA,NA,2
Lepidoptera,W-100,N,T,NA,NA,2
Lepidoptera,W-100,Y,T,NA,NA,2
Lepidostomatidae,CHUCK,N,A,SH,L,1
Lepidostomatidae,CHUCK,Y,A,SH,L,1
Leptophlebiidae,MCTE,N,A,CG,L,2
Leptophlebiidae,MCTE,Y,A,CG,L,5
Leptophlebiidae,W-100,Y,A,CG,L,2
Leuctridae,MCTE,N,A,SH,L,1
Leuctridae,MCTE,Y,A,SH,L,1
Limnephilidae,LOON,N,A,SH,L,1
Limnephilidae,LOON,Y,A,SH,L,1
Limnephilidae,MCTE,N,A,SH,L,1
Mite,MCTE,Y,A,CG,S,1
Nemouridae,CHUCK,N,A,SH,S,2
Nemouridae,CHUCK,Y,AT,SH,S,1
Nemouridae,LOON,Y,AT,SH,S,1
Nemouridae,MCTE,N,A,SH,S,1
Nemouridae,MCTE,Y,A,SH,S,2
Orthoptera,CHUCK,N,T,NA,NA,3
Orthoptera,LOON,Y,T,NA,NA,1
Ostrocod,CHUCK,N,A,CF,S,2
Ostrocod,CHUCK,Y,A,CF,S,2
Ostrocod,LOON,N,A,CF,S,2
Ostrocod,MCTE,N,A,CF,S,3
Ostrocod,MCTE,Y,A,CF,S,9
Ostrocod,W-100,N,A,CF,S,1
Peltoperlidae,MCTE,N,A,SH,S,3
Peltoperlidae,MCTE,Y,A,SH,S,2
Perlidae,CHUCK,N,A,P,L,4
Perlidae,CHUCK,N,AT,P,L,1
Perlidae,CHUCK,Y,A,P,L,6
Perlidae,LOON,N,A,P,L,1
Perlidae,MCTE,Y,A,P,L,3
Perlidae,W-100,Y,A,P,L,1
Philopotamidae,W-100,Y,A,CF,L,1
Rhyacophilidae,CHUCK,N,A,P,L,4
Rhyacophilidae,CHUCK,Y,A,P,L,5
Rhyacophilidae,LOON,N,A,P,L,2
Rhyacophilidae,LOON,Y,A,P,L,1
Rhyacophilidae,LOON,Y,AT,P,L,1
Rhyacophilidae,MCTE,Y,A,P,L,1
Rhyacophilidae,W-100,N,A,P,L,1
Rhyacophilidae,W-100,Y,A,P,L,3
Sialidae,W-100,Y,A,P,L,1
Simuliidae,CHUCK,Y,A,CF,S,1
Simuliidae,LOON,Y,A,CF,S,1
Simuliidae,MCTE,N,A,CF,S,2
Simuliidae,MCTE,Y,A,CF,S,1
Simuliidae,MCTE,Y,AT,CF,S,1
Simuliidae,W-100,Y,A,CF,S,3
Slug,W-100,Y,T,NA,NA,1
Tipulidae,CHUCK,Y,A,SH,L,1
Tipulidae,MCTE,N,A,SH,L,2
Tipulidae,MCTE,Y,A,SH,L,1
Tipulidae,W-100,N,A,SH,L,3
Trichoptera,CHUCK,N,AT,NA,NA,4
Trichoptera,LOON,N,AT,NA,NA,3
Trichoptera,LOON,Y,AT,NA,NA,3
Trichoptera,MCTE,N,A,NA,NA,1
Trichoptera,MCTE,N,AT,NA,NA,4
Trichoptera,MCTE,Y,A,NA,NA,3
Trichoptera,MCTE,Y,AT,NA,NA,3
Trichoptera,W-100,N,AT,NA,NA,1
Trichoptera,W-100,Y,A,NA,NA,2
Trichoptera,W-100,Y,AT,NA,NA,3
Trout,MCTE,N,A,NA,NA,1
Trout,W-100,N,A,NA,NA,4
Trout,W-100,Y,A,NA,NA,1
Uenoidae,MCTE,N,A,SCi,L,1
