CF,CG,G,P,SC,SH
0,95,22,119,156,24
25,172,15,110,170,36
9,60,0,88,178,100
6,87,3,98,148,83
4,116,0,72,206,55
1,61,1,123,186,74
2,91,0,83,189,99
3,174,0,87,185,55
2,107,10,64,166,43
4,93,14,79,170,38
10,52,0,84,100,192
1,107,8,86,109,172
18,88,39,74,135,113
12,133,28,96,92,243
5,83,30,97,167,85
9,87,22,99,226,76
2,111,2,98,196,46
5,92,7,110,179,56
0,24,0,11,4,19
0,14,0,12,3,11
1,34,0,14,3,19
2,40,0,11,4,9
0,43,0,21,2,16
2,62,0,15,5,20
1,20,0,7,2,8
0,11,0,8,2,8
8,57,0,22,10,18