RowName,Ameletus,Amphizoa,Ampumixis,Antocha,Aquarius,Atheryx,Atrichopogon,Baetis,Brachycentrus,Calineuria,Caudatella,Ceratapogonidae,Chironomidae,Chloroperlidae,Cinygmula,Clam,Coleoptera,Collembola,Copepod,Corydalidae,Crayfish,Despaxia,Dicranopselaphus variegatus,Dicranota,Dixella,Dixidae,Doronueria,Drunella,Dubiraphia,Dyticidae,Elmidae,Empididae,Epeorus,Ephemerella,Ephemerellidae,Gerridae,Glossosoma,Heptageniidae,Hesperoperla,Hexatoma,Hydrophilidae,Hydropsychidae,Ironodes,Juga,Lara,Lepidostoma,Leptophlebiidae,Leuctridae,Limnephilidae,Malenka,Meringodixa,Micrasema,Mite,Moselia,Narpus,Nemoura,Nemouridae,Neophylax,Octogomphus,Orohermes,Ostrocod,Paraleptophlebia,Parapsyche,Pelecorhynchidae,Peltoperlidae,Perlidae,Philocasca,Philopotamidae,Psychodidae,Psychoglypha,Pteronarcidae,Pteronarcys,Rhyacophila,Rithrogena,Sialis,Simuliidae,Smithirnidae,Sweltsa,Tabanidae,Tipulidae,Treptobates,Uenoidae,Wormalia,Yoraperla,Zapada
CHUCK 3,0,12.34567901,88.88888889,-3.703703704,0,0,0,12.34567901,0,191.3580247,0,22.22222222,1001.234568,0,18.51851852,0,0,0,0,0,0,29.62962963,0,0,11.11111111,8.641975309,-11.11111111,24.33862435,11.11111111,0,0,0,3.703703704,0,0,0,98.7654321,240.7407408,0,0,0,0,0,12.34567901,0,0,0,37.03703704,37.03703704,0,55.55555556,214.2857143,486.7724869,47.61904763,0,0,-3.703703704,0,0,0,577.7777778,-1.234567901,0,0,0,12.34567901,0,12.34567901,0,0,12.34567901,12.34567901,108.6419753,12.34567901,0,12.34567901,0,-14.81481481,0,29.62962963,0,-3.703703704,20.98765432,13.58024691,20.98765432
CHUCK 4,22.22222222,-7.407407407,0,0,12.34567901,0,0,218.5185186,0,196.2962963,0,85.18518522,926.9841272,22.22222223,0,0,0,-3.703703704,0,24.69135802,0,303.7037037,-3.703703704,0,0,49.38271605,0,8.641975309,0,0,8.641975309,0,-11.11111111,0,0,0,111.1111111,103.7037037,0,-3.703703704,0,0,0,-3.703703704,0,-7.407407407,-3.703703704,15.87301587,0,0,0,224.691358,503.7037037,12.34567901,0,160.4938272,0,0,0,31.74603175,-70.37037037,141.2698413,0,0,-3.703703704,22.22222222,-3.703703704,0,11.11111111,0,11.11111111,66.66666668,103.7037037,11.11111111,0,51.85185186,11.11111111,-166.6666667,0,33.33333334,0,0,-3.703703704,114.8148148,125.925926
LOON 3,0,0,0,0,0,0,0,-9.87654321,-3.703703704,32.09876543,0,45.67901235,177.7777778,0,0,0,0,0,63.4920635,24.69135802,0,24.69135802,0,-3.703703704,0,0,0,22.22222222,0,24.69135802,8.641975309,0,-3.703703704,0,0,0,15.87301588,95.23809526,0,0,0,0,0,95.23809526,0,77.77777779,0,37.03703704,-7.407407407,0,31.74603175,114.8148148,481.4814815,0,0,0,0,0,0,4.115226337,12.34567901,125.9259259,0,0,0,0,0,0,0,-3.703703704,0,5.291005291,25.92592593,0,0,0,0,4.938271605,0,37.03703704,0,0,-7.407407407,0,59.25925926
LOON 4,-3.703703704,0,18.51851852,0,0,0,0,-37.03703704,-3.703703704,65.43209877,0,12.34567901,1434.567901,0,-3.703703704,0,0,0,37.03703704,0,0,50.61728395,-3.703703704,0,31.74603175,44.44444445,0,-122.2222222,0,12.34567901,0,0,4.938271605,0,11.11111111,37.03703704,77.77777779,192.5925926,0,32.40740741,0,0,0,259.2592593,12.34567901,18.51851852,0,0,0,0,148.1481481,129.6296296,11.11111118,22.22222222,0,0,0,0,0,0,428.5714287,66.6666667,0,0,0,0,0,0,0,0,0,-7.407407407,18.51851852,0,0,-18.51851852,0,-27.16049383,0,34.56790123,0,0,0,0,-40.74074074
MCTE 3,15.87301588,0,0,0,0,-7.407407407,0,98.41269845,0,-29.10052909,-7.407407407,36.50793652,2507.407407,0,-14.81481481,0,0,15.87301587,0,0,0,71.95767198,0,0,0,-3.703703704,0,359.2592593,0,0,0,0,0,15.87301587,0,0,107.4074074,-50.61728395,0,0,0,166.6666667,-59.25925926,1152.777778,74.07407407,0,0,22.22222222,0,-22.22222222,92.59259259,-3.703703677,392.308919,-14.81481481,0,0,0,44.44444445,0,23.7037037,-25.92592593,-29.62962962,-7.407407407,0,0,0,0,-7.407407407,0,0,0,-14.81481481,70.3703704,-3.703703704,15.87301588,28.04232805,0,-113.7566137,-3.703703704,25.39682541,0,0,-3.703703704,-62.43386225,97.3544974
MCTE 4,0,0,0,0,0,0,0,100,-3.703703704,363.7860082,0,181.4814815,2018.518519,0,4.938271605,0,0,0,44.44444446,0,0,-22.22222222,0,0,0,37.03703704,15.87301587,96.2962963,0,0,37.03703704,-3.703703704,-3.703703704,0,0,0,55.55555556,79.01234568,148.1481481,0,0,0,0,1140.740741,44.44444445,0,0,88.88888892,-11.11111111,0,0,3207.407407,244.4444445,25.92592593,0,0,0,0,22.22222223,4.62962963,-18.51851852,-40.74074074,0,0,0,0,0,0,0,-3.703703704,0,8.230452675,211.5226337,0,185.1851852,-55.55555556,0,140.7407407,0,29.62962963,0,0,0,288.8888889,322.2222222
W-100 3,-11.11111111,-7.407407407,-33.33333333,0,0,0,0,-151.8518519,0,181.4814815,0,11.11111111,339.5061728,-7.407407407,-18.51851852,0,-3.703703704,0,22.22222222,0,-7.407407407,18.51851852,0,4.62962963,0,0,0,-37.03703704,0,0,7.407407407,0,-14.81481481,12.34567901,0,0,222.2222222,192.5925926,0,0,-22.22222222,-14.81481481,0,400.0000002,85.18518519,-14.81481481,0,33.33333334,-3.703703704,0,-7.407407407,277.7777778,-49.38271605,0,-3.703703704,61.72839506,0,0,0,51.85185185,962.962963,22.22222222,107.4074074,0,0,55.55555556,0,0,0,0,0,0,177.7777778,0,0,18.51851852,0,100,0,22.22222222,18.51851852,0,37.03703704,0,122.2222222
W-100 4,0,0,14.81481482,-3.703703704,0,0,0,-174.0740741,440.7407407,170.3703704,0,44.44444445,2118.51852,0,-18.51851852,0,0,0,0,0,0,-3.703703704,0,0,-22.22222222,0,0,39.50617284,0,0,7.407407408,0,0,0,44.44444446,0,122.2222223,174.0740741,0,0,-7.407407407,-3.703703704,22.22222222,24.69135802,-33.33333333,74.07407407,0,49.38271605,0,0,-3.703703704,-207.4074074,85.1851852,7.407407409,0,11.11111111,0,33.33333334,0,0,322.2222223,18.51851852,18.51851852,-7.407407407,0,22.22222222,0,0,0,0,0,0,-70.37037037,0,0,22.22222222,0,-33.33333333,0,3.703703705,0,0,-25.92592593,0,-3.703703701
W-113 3,0,0,-9.87654321,0,0,0,24.69135802,70.37037047,66.66666669,351.851852,0,-11.11111111,2070.37037,-3.703703704,11.11111111,22.22222223,0,0,12.34567901,0,0,44.44444446,0,0,0,0,0,237.037037,0,0,55.55555558,0,40.74074074,0,0,0,170.3703704,137.0370372,0,-3.703703704,0,0,-11.11111111,22.22222223,-7.407407407,-3.703703704,0,81.48148149,0,0,0,545.6790123,558.0246914,0,0,12.34567901,12.34567901,6.878306878,-14.81481481,0,0,33.33333333,288.888889,0,0,0,0,0,0,0,0,151.8518519,162.9629631,22.22222223,0,0,0,14.81481484,0,0,0,-3.703703704,0,-59.25925926,277.7777779
W-113 4,-3.703703704,0,66.66666669,0,0,0,0,537.0370371,20.98765432,216.2962963,0,37.03703704,3029.62963,0,0,0,0,0,0,-3.703703704,0,18.51851852,0,0,0,-3.703703704,0,225.9259259,0,0,-29.62962963,0,-18.51851852,0,0,0,137.037037,300,0,-7.407407407,0,0,0,574.0740741,44.44444447,0,0,37.03703704,0,0,12.34567901,270.3703704,177.7777778,22.22222222,0,0,22.22222223,0,14.81481482,0,-3.703703704,74.07407407,107.4074074,0,0,0,0,0,0,0,0,-3.703703704,72.5925926,0,0,0,0,-170.3703704,0,22.22222222,0,0,-3.703703704,-18.51851852,396.2962963