RowName,Ameletidae,Amphizoidae,Baetidae,Brachycentridae,Ceratapogonidae,Chironomidae,Chloroperlidae,Clam,Collembola,Copepod,Corixidae,Corydalidae,Diptera,Dixidae,DIxidae,Dyticidae,Dytiscidae,Elmidae,Ephemerellidae,Ephemeroptera,Gastropod,Gerridae,Glossosomatidae,Glossostomatidae,Gomphidae,Heptageniidae,Hydropsychidae,Juga,Lepidostomatidae,Leptophlebiidae,Leuctridae,Limnephilidae,Mite,Nemouridae,Ostrocod,Peltoperlidae,Perlidae,Philopotamidae,Plecoptera,Psychodidae,Pteronarcidae,Rhyacophilidae,Salamander,Sialidae,Simuliidae,Smithirnidae,Tipulidae,Trichoptera,Trout,Uenoidae
CHUCK 3,0,37.03703704,814.8148148,888.8888889,185.1851852,1851.851852,444.4444444,0,0,0,0,0,0,0,0,37.03703704,0,0,148.1481481,0,0,0,0,555.5555556,0,481.4814815,0,74.07407407,0,74.07407407,185.1851852,111.1111111,518.5185185,370.3703704,2888.888889,74.07407407,666.6666667,111.1111111,0,0,74.07407407,481.4814815,0,0,37.03703704,0,111.1111111,0,0,0
CHUCK 4,66.66666667,0,1133.333333,300,33.33333334,800.0000001,200,0,0,0,0,0,0,333.3333334,0,0,0,33.33333334,1133.333334,0,0,0,0,233.3333334,0,800.0000001,0,133.3333333,233.3333334,66.66666667,200,0,333.3333334,600.0000001,966.6666668,400,733.3333334,0,0,33.33333333,233.3333334,733.3333334,0,0,166.6666667,33.33333334,133.3333334,0,0,100
LOON 3,0,0,148.1481481,1851.851852,148.1481481,3148.148148,148.1481481,0,0,37.03703704,0,74.07407407,0,74.07407407,0,74.07407407,0,111.1111111,185.1851852,0,0,37.03703704,0,296.2962963,0,37.03703704,0,37.03703704,0,111.1111111,259.2592593,0,1962.962963,296.2962963,0,0,296.2962963,0,0,0,15.87301587,111.1111111,0,0,0,0,111.1111111,0,0,31.74603175
LOON 4,0,0,111.1111111,740.7407407,37.03703704,4703.703704,74.07407407,0,0,0,0,74.07407407,0,148.1481481,0,0,0,37.03703704,37.03703704,0,0,0,0,333.3333333,0,333.3333333,0,0,0,222.2222222,333.3333333,0,1444.444444,592.5925926,37.03703704,0,407.4074074,0,0,0,0,111.1111111,0,0,0,0,148.1481481,0,0,0
MCTE 3,47.61904763,0,773.0158731,809.5238097,142.8571429,3047.619048,714.2857144,0,47.61904762,190.4761905,0,95.23809526,0,190.4761905,0,0,0,0,142.8571429,0,0,0,0,47.61904764,0,285.7142858,0,285.7142858,0,523.8095239,428.5714287,0,1571.428572,809.5238097,1285.714286,2523.809524,238.0952381,0,0,0,0,333.3333334,0,47.61904763,95.23809526,0,142.8571429,0,0,0
MCTE 4,0,0,1444.444444,11333.33333,555.5555556,8.00E+03,666.6666667,0,0,111.1111111,0,12.34567901,0,555.5555556,0,0,0,111.1111111,111.1111111,0,0,111.1111111,0,333.3333333,0,666.6666667,0,777.7777778,222.2222222,444.4444444,222.2222222,0,1888.888889,1555.555556,1777.777778,1222.222222,1135.802469,0,0,0,24.69135802,679.0123457,0,555.5555556,0,0,111.1111111,0,0,0
W-100 3,0,0,833.3333333,388.8888889,55.55555556,6111.111111,500,0,0,0,0,13.88888889,0,277.7777778,0,0,0,388.8888889,555.5555556,0,0,55.55555556,0,166.6666667,0,722.2222222,833.3333333,3513.888889,55.55555556,0,55.55555556,0,1555.555556,388.8888889,0,0,1277.777778,111.1111111,0,0,0,555.5555556,0,0,55.55555556,0,222.2222222,0,0,0
W-100 4,0,0,666.6666667,533.3333334,66.66666667,9200,133.3333333,0,0,66.66666667,0,200,0,0,0,0,0,333.3333333,733.3333334,0,0,0,0,666.6666667,0,666.6666667,66.66666667,3466.666667,0,66.66666667,133.3333333,0,1466.666667,200,0,0,866.6666667,0,0,0,0,266.6666667,0,0,66.66666667,0,66.66666667,0,0,0
W-113 3,0,0,733.3333336,400.0000002,266.6666668,9333.333337,266.6666668,66.66666669,0,133.3333334,0,0,0,0,0,0,0,600.0000002,133.3333334,0,0,0,0,400.0000002,66.66666669,1133.333334,1000,1466.666667,0,266.6666668,400.0000002,0,533.3333335,1000,0,0,1133.333334,0,0,0,533.3333335,666.6666669,0,0,0,0,0,0,0,0
W-113 4,0,0,2000,1066.666667,133.3333333,6266.666667,133.3333333,0,0,0,0,93.33333334,0,0,0,0,0,600,933.3333334,0,0,0,0,533.3333334,66.66666667,1133.333333,333.3333333,1800,0,400,1266.666667,0,666.6666667,1200,0,0,960,0,0,0,0,306.6666667,0,0,0,0,66.66666667,0,0,133.3333333
CHUCK 1,0,0,11,3,1,25,0,0,0,0,0,0,0,1,0,0,0,2,3,0,0,0,0,0,0,1,2,0,1,0,0,0,0,2,2,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0
CHUCK 2,0,0,8,4,0,12,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,6,0,0,0,0,5,0,0,1,0,1,0,0,0
LOON 1,0,0,1,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
LOON 2,0,0,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
MCTE 1,0,0,9,8,1,11,3,0,0,0,1,0,0,2,0,0,0,2,1,0,0,0,0,0,0,2,0,28,0,2,1,1,0,1,3,3,0,0,0,0,0,0,0,0,2,0,2,1,1,1
MCTE 2,0,0,8,8,1,17,0,0,0,0,0,1,0,2,0,0,1,4,2,1,0,1,1,0,0,1,0,12,0,5,1,0,1,2,9,2,3,0,0,0,0,1,0,0,1,0,1,3,0,0
W-100 1,0,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,4,0
W-100 2,0,1,5,2,0,7,0,0,0,0,1,0,1,5,0,0,0,2,2,2,0,2,3,0,0,1,2,1,0,2,0,0,0,0,0,0,1,1,0,0,0,3,0,1,3,0,0,2,1,0
W-113 1,0,0,3,0,0,3,0,0,0,0,0,0,0,2,3,0,0,0,0,0,3,1,2,0,0,2,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,2,0,0
W-113 2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,4,0,0