RowName,Ameletidae,Amphizoidae,Athericidae,Baetidae,Brachycentridae,Ceratapogonidae,Chironomidae,Chloroperlidae,Clam,Coleoptera,Collembola,Copepod,Corixidae,Corydalidae,Crayfish,Diptera,Dixidae,DIxidae,Dyticidae,Dytiscidae,Elmidae,Empididae,Ephemerellidae,Ephemeroptera,Gastropod,Gerridae,Glossosomatidae,Glossostomatidae,Gomphidae,Heptageniidae,Hydrophilidae,Hydropsychidae,Juga,Lepidostomatidae,Leptophlebiidae,Leuctridae,Limnephilidae,Mite,Nemouridae,Ostrocod,Pelecorhynchidae,Peltoperlidae,Perlidae,Philopotamidae,Plecoptera,Psephenidae,Psychodidae,Pteronarcidae,Rhyacophilidae,Salamander,Sialidae,Simuliidae,Smithirnidae,Tabanidae,Tipulidae,Trichoptera,Trout,Uenoidae
CHUCK 3,0,12.34567901,-7.407407407,112.345679,237.037037,58.02469136,569.1358025,-7.407407407,0,0,0,0,0,0,0,0,0,0,12.34567901,0,0,0,-24.69135802,0,0,0,0,185.1851852,0,145.6790123,0,0,24.69135802,0,-1.234567901,39.50617284,37.03703704,39.50617284,82.71604938,948.1481481,0,13.58024691,170.3703704,33.33333333,0,0,0,24.69135802,108.6419753,0,0,12.34567901,0,0,25.92592593,0,0,-3.703703704
CHUCK 4,22.22222222,0,0,-3.703703653,77.77777779,3.703703705,177.7777778,-174.0740741,0,0,0,0,0,0,0,0,111.1111111,0,0,0,11.11111111,0,288.888889,0,0,0,0,77.77777779,0,188.8888889,0,0,40.74074075,70.37037039,-14.81481481,59.25925927,-3.703703704,14.81481483,148.1481482,251.8518519,0,111.1111111,151.8518519,-3.703703704,0,-3.703703704,11.11111111,77.77777779,103.7037037,0,0,51.85185186,11.11111111,0,29.62962964,0,0,33.33333334
LOON 3,0,0,0,-9.87654321,602.4691358,49.38271605,1030.864198,4.938271605,0,0,0,12.34567901,0,24.69135802,0,0,20.98765432,0,24.69135802,0,33.33333333,-3.703703704,46.91358025,0,0,12.34567901,0,98.7654321,0,-6.172839506,0,0,12.34567901,0,14.81481481,86.41975309,-11.11111111,654.3209877,83.95061728,0,0,0,72.83950617,-7.407407407,0,0,0,5.291005291,25.92592593,0,0,0,0,0,37.03703704,0,0,10.58201058
LOON 4,-3.703703704,0,0,-37.03703704,195.0617284,1.234567901,1434.567901,-34.56790123,0,-3.703703704,0,0,0,20.98765432,0,0,49.38271605,0,0,0,8.641975309,0,8.641975309,0,0,0,0,111.1111111,0,77.77777778,0,0,0,0,51.85185185,103.7037037,0,314.8148148,127.1604938,12.34567901,0,0,65.43209877,0,0,-3.703703704,0,-7.407407407,18.51851852,0,0,-18.51851852,0,0,30.86419753,0,0,0
MCTE 3,4.761904765,0,0,83.59788364,199.4708995,47.61904763,926.9841272,-113.7566137,0,0,12.16931217,63.4920635,0,24.33862435,0,0,59.7883598,0,0,0,0,0,25.39682541,0,0,0,0,12.16931218,0,-19.57671955,0,-7.407407407,76.71957674,0,11.64021168,128.0423281,0,397.5999244,106.8783069,402.6455028,0,-62.43386225,53.43915345,-11.11111111,0,0,0,-14.81481481,70.3703704,0,15.87301588,28.04232805,0,-3.703703704,25.39682541,0,0,0
MCTE 4,0,0,0,351.8518519,3648.148148,181.4814815,2507.407407,140.7407407,0,0,0,37.03703704,0,4.115226337,0,0,185.1851852,0,0,0,37.03703704,0,11.11111111,0,0,37.03703704,0,111.1111111,0,203.7037037,0,0,233.3333333,59.25925926,107.4074074,59.25925926,-14.81481481,385.1851852,359.2592593,574.0740741,0,288.8888889,360.0823045,0,0,0,0,8.230452675,211.5226337,0,185.1851852,-55.55555556,0,0,18.51851852,0,0,0
W-100 3,0,-7.407407407,0,-151.8518519,111.1111111,18.51851852,1759.259259,100,0,0,0,0,0,-10.18518519,-7.407407407,0,81.48148148,0,0,0,40.74074074,0,148.1481481,0,0,18.51851852,0,55.55555556,0,-14.81481481,-22.22222222,274.0740741,1156.481481,14.81481481,0,18.51851852,-3.703703704,474.0740741,122.2222222,0,0,0,322.2222222,37.03703704,0,0,0,0,177.7777778,0,0,18.51851852,0,0,59.25925926,0,0,0
W-100 4,-3.703703704,0,0,-174.0740741,-133.3333333,8.89E-10,2074.074074,-37.03703704,0,0,0,22.22222222,0,66.66666667,0,0,-25.92592593,0,0,0,29.62962963,0,85.18518519,0,0,0,0,211.1111111,0,174.0740741,-7.407407407,3.703703705,1066.666667,0,18.51851852,37.03703704,0,266.6666667,-3.703703701,0,-7.407407407,0,192.5925926,-25.92592593,0,0,0,0,-70.37037037,0,0,22.22222222,0,0,8.89E-10,0,0,0
W-113 3,0,0,0,-14.81481472,107.4074075,88.88888892,3092.592594,37.03703707,22.22222223,0,0,44.44444446,0,0,0,0,0,0,0,0,159.2592593,0,37.03703705,0,0,0,0,118.5185186,7.407407416,337.0370372,0,311.1111112,466.6666669,0,85.18518522,118.5185186,0,140.7407408,296.2962964,0,0,-59.25925926,311.1111113,0,0,0,0,151.8518519,162.9629631,0,0,0,0,0,0,0,0,-7.407407407
W-113 4,0,-7.407407407,0,507.4074074,270.3703704,40.74074074,2051.851852,-170.3703704,0,0,0,0,0,31.11111111,0,0,0,0,0,0,148.1481482,0,303.7037037,0,0,0,0,137.037037,14.81481482,348.1481482,0,103.7037037,600,0,133.3333333,411.1111111,0,196.2962963,396.2962963,-3.703703704,0,-18.51851852,305.1851852,-3.703703704,0,0,0,-3.703703704,72.5925926,0,0,0,0,0,22.22222222,0,0,44.44444445
CHUCK 1,0,0,0,11,3,1,25,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,2,2,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
CHUCK 2,0,0,0,8,4,0,12,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,6,0,0,0,0,0,5,0,0,1,0,0,1,0,0,0
LOON 1,0,0,0,1,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
LOON 2,0,0,0,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
MCTE 1,0,0,0,9,8,1,11,3,0,0,0,0,1,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,28,0,2,1,1,0,1,3,0,3,0,0,0,0,0,0,0,0,0,2,0,0,2,1,1,1
MCTE 2,0,0,0,8,8,1,17,0,0,0,0,0,0,1,0,0,2,0,0,1,4,0,2,1,0,1,1,0,0,1,0,0,12,0,5,1,0,1,2,9,0,2,3,0,0,0,0,0,1,0,0,1,0,0,1,3,0,0
W-100 1,0,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,4,0
W-100 2,0,1,0,5,2,0,7,0,0,0,0,0,1,0,0,1,5,0,0,0,2,0,2,2,0,2,3,0,0,1,0,2,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,1,3,0,0,0,2,1,0
W-113 1,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,3,1,2,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0
W-113 2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,4,0,0